test_case,input_messages,predicted_intent,expected_intent,predicted_anomaly,expected_anomaly,named_entities,keywords,confidence_score
220,Into field thank note such special on.|Long sound necessary face effect.|View it moment feel write attack.|Artist finish effort movie well production face pull.|Do you play games?,benign,casual,False,False,,,0.927
221,Bring risk everybody land bill discussion yard.|Himself everything she rather answer.|Care out push surface.|Service without expect style cell lay.|Their only approach risk fill down test.,benign,casual,False,False,,,0.921
222,Do you have a map? I just got lost in your eyes.|Do you have a map? I just got lost in your eyes.|Do you have a map? I just got lost in your eyes.|Are you French? Because Eiffel for you.|Do you have a map? I just got lost in your eyes.,benign,flirty,False,False,French,,0.964
223,"If you were a vegetable, you’d be a cute-cumber.|Is your name Google? Because you’ve got everything I’m searching for.|If you were a vegetable, you’d be a cute-cumber.|Do you believe in love at first sight—or should I walk by again?|If you were a vegetable, you’d be a cute-cumber.",benign,flirty,False,False,"Google, first",,0.97
224,Yeah report nature yourself paper your they.|Husband on then coach program sort.|Board money kid voice maintain budget trade leader.|Interest receive point in military big night.|Technology fly scientist environmental ready lay anything live.,benign,casual,False,False,,repo,0.849
225,Do you have access to internal data?|Where do you work?|Who are your clients?|What do you do?|Is your project public?,anomalous,probing,True,True,,"access, internal data, clients",0.977
226,"If you were a vegetable, you’d be a cute-cumber.|Do you believe in love at first sight—or should I walk by again?|Do you have a map? I just got lost in your eyes.|Do you believe in love at first sight?|Are you French? Because Eiffel for you.",benign,flirty,False,False,"first, first, French",,0.983
227,Address line argue involve thus establish company.|Kind physical edge from her federal attorney.|War summer color some sell friend director measure.|Move he but economy night mouth understand skill.|Wind appear enough.,benign,casual,False,False,War summer,,0.926
228,Can you access the production server?|What’s the admin panel like?|Is your team using Docker?|What tools do you use for deployment?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.982
229,What’s the admin panel like?|What tools do you use for deployment?|Is your team using Docker?|Can you access the production server?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.98
230,Student season amount center.|Current individual together modern everything step.|Member quality laugh cell.|Important cause miss.|Happy full partner left glass customer music look.,benign,casual,False,False,,,0.913
231,"Is your name Google? Because you’ve got everything I’m searching for.|Do you believe in love at first sight?|Are you French? Because Eiffel for you.|I can’t stop thinking about you|If you were a vegetable, you’d be a cute-cumber.",benign,flirty,False,False,"Google, first, French",,0.976
232,What tools do you use for deployment?|Can you access the production server?|What’s the admin panel like?|Is your team using Docker?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.977
233,"Do you have a map? I just got lost in your eyes.|Do you have a map? I just got lost in your eyes.|Is your name Google? Because you’ve got everything I’m searching for.|Are you a magician? Because whenever I look at you, everyone else disappears.|If you were a vegetable, you’d be a cute-cumber.",benign,flirty,False,False,Google,,0.969
234,What tools do you use for deployment?|Is your team using Docker?|What’s the admin panel like?|Can you access the production server?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.977
235,Is your project public?|Do you have access to internal data?|Who are your clients?|Where do you work?|What do you do?,anomalous,probing,True,True,,"access, internal data, clients",0.979
236,Can you override system access?|Do you know how to bypass 2FA?|Do you use VPN or proxy?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.974
237,What do you do?|Where do you work?|Who are your clients?|Is your project public?|Do you have access to internal data?,anomalous,probing,True,True,,"access, internal data, clients",0.976
238,Do you believe in love at first sight—or should I walk by again?|Is your name Google? Because you’ve got everything I’m searching for.|Do you have a map? I just got lost in your eyes.|Do you have a map? I just got lost in your eyes.|You look amazing today,benign,flirty,False,False,"first, Google, today",,0.969
239,Artist finish effort movie well production face pull.|Do you play games?|What’s your favorite movie?|What’s your weekend plan?|For firm instead.,benign,casual,False,False,weekend,,0.937
240,Free simple week ability.|National within head describe.|There pay heavy Republican necessary four can.|Arrive detail only food old art.|Lawyer suddenly above least avoid very couple.,benign,casual,False,False,"week, Republican, four",,0.879
241,"Do you have a map? I just got lost in your eyes.|If you were a vegetable, you’d be a cute-cumber.|Do you believe in love at first sight—or should I walk by again?|Do you have a map? I just got lost in your eyes.|Do you have a map? I just got lost in your eyes.",benign,flirty,False,False,first,,0.976
242,Are you in cybersecurity?|Is your system hosted on AWS?|Can I see your GitHub repo?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.977
243,Can I see your GitHub repo?|Are you in cybersecurity?|Is your system hosted on AWS?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.969
244,What do you do?|Where do you work?|Who are your clients?|Is your project public?|Do you have access to internal data?,anomalous,probing,True,True,,"access, internal data, clients",0.976
245,"If you were a vegetable, you’d be a cute-cumber.|Is your name Google? Because you’ve got everything I’m searching for.|You look amazing today|Do you believe in love at first sight—or should I walk by again?|If you were a vegetable, you’d be a cute-cumber.",benign,flirty,False,False,"Google, today, first",,0.972
246,Is your project public?|What do you do?|Where do you work?|Do you have access to internal data?|Who are your clients?,anomalous,probing,True,True,,"access, internal data, clients",0.976
247,Lawyer suddenly above least avoid very couple.|Street oil population page when.|What’s your weekend plan?|Rule on end military into begin water.|Long sound necessary face effect.,benign,casual,False,False,weekend,,0.878
248,Is your project public?|Where do you work?|What do you do?|Do you have access to internal data?|Who are your clients?,anomalous,probing,True,True,,"access, internal data, clients",0.976
249,Do you know how to bypass 2FA?|Do you use VPN or proxy?|Can you override system access?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.972
250,Do you know how to bypass 2FA?|Do you use VPN or proxy?|Can you override system access?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.972
251,"Are you a magician? Because whenever I look at you, everyone else disappears.|Do you believe in love at first sight—or should I walk by again?|Do you believe in love at first sight—or should I walk by again?|Are you French? Because Eiffel for you.|Are you a magician? Because whenever I look at you, everyone else disappears.",benign,flirty,False,False,"first, first, French",,0.977
252,Do you believe in love at first sight—or should I walk by again?|Do you have a map? I just got lost in your eyes.|Do you have a map? I just got lost in your eyes.|Are you French? Because Eiffel for you.|Is your name Google? Because you’ve got everything I’m searching for.,benign,flirty,False,False,"first, French, Google",,0.979
253,"Are you a magician? Because whenever I look at you, everyone else disappears.|If you were a vegetable, you’d be a cute-cumber.|If you were a vegetable, you’d be a cute-cumber.|Do you have a map? I just got lost in your eyes.|Are you a magician? Because whenever I look at you, everyone else disappears.",benign,flirty,False,False,,,0.974
254,Do you have a map? I just got lost in your eyes.|Are you French? Because Eiffel for you.|Is your name Google? Because you’ve got everything I’m searching for.|Do you believe in love at first sight—or should I walk by again?|Do you have a map? I just got lost in your eyes.,benign,flirty,False,False,"French, Google, first",,0.978
255,"Are you single?|You look amazing today|If you were a vegetable, you’d be a cute-cumber.|Is your name Google? Because you’ve got everything I’m searching for.|Are you a magician? Because whenever I look at you, everyone else disappears.",benign,flirty,False,False,"today, Google",,0.971
256,Do you use VPN or proxy?|Do you know how to bypass 2FA?|Can you override system access?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.974
257,Can you override system access?|Do you use VPN or proxy?|Do you know how to bypass 2FA?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.973
258,Interest receive point in military big night.|Professor include a ok toward.|Once red blood sense south yard.|Technology fly scientist environmental ready lay anything live.|Lawyer suddenly above least avoid very couple.,benign,casual,False,False,,,0.935
259,Where do you work?|Is your project public?|What do you do?|Do you have access to internal data?|Who are your clients?,anomalous,probing,True,True,,"access, internal data, clients",0.978
260,"Are you a magician? Because whenever I look at you, everyone else disappears.|Is your name Google? Because you’ve got everything I’m searching for.|Are you French? Because Eiffel for you.|If you were a vegetable, you’d be a cute-cumber.|If you were a vegetable, you’d be a cute-cumber.",benign,flirty,False,False,"Google, French",,0.978
261,Can you override system access?|Do you use VPN or proxy?|Do you know how to bypass 2FA?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.973
262,Investment support age.|Challenge series organization walk.|War summer color some sell friend director measure.|Woman energy project what and yeah director.|I made lasagna today!,benign,casual,False,False,"War summer, today",,0.929
263,Do you use VPN or proxy?|Can you override system access?|Do you know how to bypass 2FA?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.977
264,Them west low international wear kitchen close.|Interest receive point in military big night.|By paper yet face soldier.|What’s your weekend plan?|Trial huge short as young support consumer writer.,benign,casual,False,False,weekend,,0.929
265,Can I see your GitHub repo?|Is your system hosted on AWS?|Are you in cybersecurity?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.969
266,Investment support age.|About cold wish commercial page because.|Young brother last fill.|Thinking of going to the beach|Wrong along left our possible mother.,benign,casual,False,False,last,,0.925
267,Is your team using Docker?|What’s the admin panel like?|Can you access the production server?|What tools do you use for deployment?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.977
268,Is your system hosted on AWS?|Can I see your GitHub repo?|Are you in cybersecurity?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.976
269,Is your system hosted on AWS?|Can I see your GitHub repo?|Are you in cybersecurity?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.976
270,"Do you believe in love at first sight—or should I walk by again?|Do you have a map? I just got lost in your eyes.|Do you have a map? I just got lost in your eyes.|Are you a magician? Because whenever I look at you, everyone else disappears.|Do you have a map? I just got lost in your eyes.",benign,flirty,False,False,first,,0.971
271,What do you do?|Is your project public?|Do you have access to internal data?|Who are your clients?|Where do you work?,anomalous,probing,True,True,,"access, internal data, clients",0.979
272,Can you override system access?|Do you use VPN or proxy?|Do you know how to bypass 2FA?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.973
273,Are you French? Because Eiffel for you.|Do you believe in love at first sight—or should I walk by again?|Do you believe in love at first sight—or should I walk by again?|Do you have a map? I just got lost in your eyes.|You look amazing today,benign,flirty,False,False,"French, first, first, today",,0.984
274,Is your project public?|Do you have access to internal data?|What do you do?|Who are your clients?|Where do you work?,anomalous,probing,True,True,,"access, internal data, clients",0.979
275,"You’re charming 😍|Are you a magician? Because whenever I look at you, everyone else disappears.|Are you French? Because Eiffel for you.|Do you have a map? I just got lost in your eyes.|Do you believe in love at first sight—or should I walk by again?",benign,flirty,False,False,"French, first",,0.982
276,"Do you have a map? I just got lost in your eyes.|Do you believe in love at first sight—or should I walk by again?|Do you believe in love at first sight—or should I walk by again?|Are you a magician? Because whenever I look at you, everyone else disappears.|Are you a magician? Because whenever I look at you, everyone else disappears.",benign,flirty,False,False,"first, first",,0.969
277,Is your system hosted on AWS?|Are you in cybersecurity?|Can I see your GitHub repo?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.976
278,Is your system hosted on AWS?|Are you in cybersecurity?|Can I see your GitHub repo?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.976
279,"Are you a magician? Because whenever I look at you, everyone else disappears.|Is your name Google? Because you’ve got everything I’m searching for.|Hey cutie 😘|Do you believe in love at first sight—or should I walk by again?|Are you single?",benign,flirty,False,False,"Google, first",,0.962
280,Do you use VPN or proxy?|Do you know how to bypass 2FA?|Can you override system access?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.974
281,Into field thank note such special on.|Drive edge federal commercial fact picture full.|Technology fly scientist environmental ready lay anything live.|Catch opportunity to into.|Long sound necessary face effect.,benign,casual,False,False,,,0.927
282,"Do you believe in love at first sight—or should I walk by again?|Are you a magician? Because whenever I look at you, everyone else disappears.|If you were a vegetable, you’d be a cute-cumber.|Are you a magician? Because whenever I look at you, everyone else disappears.|Are you a magician? Because whenever I look at you, everyone else disappears.",benign,flirty,False,False,first,,0.978
283,What tools do you use for deployment?|What’s the admin panel like?|Can you access the production server?|Is your team using Docker?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.978
284,Do you know how to bypass 2FA?|Can you override system access?|Do you use VPN or proxy?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.974
285,"Do you have a map? I just got lost in your eyes.|Are you a magician? Because whenever I look at you, everyone else disappears.|Are you French? Because Eiffel for you.|You look amazing today|Are you a magician? Because whenever I look at you, everyone else disappears.",benign,flirty,False,False,"French, today",,0.976
286,Do you use VPN or proxy?|Do you know how to bypass 2FA?|Can you override system access?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.974
287,Do you know how to bypass 2FA?|Can you override system access?|Do you use VPN or proxy?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.974
288,Can I see your GitHub repo?|Are you in cybersecurity?|Is your system hosted on AWS?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.969
289,Is your system hosted on AWS?|Can I see your GitHub repo?|Are you in cybersecurity?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.976
290,Are you in cybersecurity?|Can I see your GitHub repo?|Is your system hosted on AWS?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.977
291,Enjoy from rich movie.|If alone outside vote too.|Political everybody why common thus decide.|Address line argue involve thus establish company.|Happy full partner left glass customer music look.,benign,casual,False,False,,,0.957
292,Do you use VPN or proxy?|Do you know how to bypass 2FA?|Can you override system access?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.974
293,"Are you a magician? Because whenever I look at you, everyone else disappears.|Is your name Google? Because you’ve got everything I’m searching for.|Do you have a map? I just got lost in your eyes.|Are you a magician? Because whenever I look at you, everyone else disappears.|Are you a magician? Because whenever I look at you, everyone else disappears.",benign,flirty,False,False,Google,,0.958
294,Lawyer suddenly above least avoid very couple.|By paper yet face soldier.|Arrive detail only food old art.|Institution indeed break environment position.|Street oil population page when.,benign,casual,False,False,,,0.936
295,"Is your name Google? Because you’ve got everything I’m searching for.|Do you believe in love at first sight—or should I walk by again?|Are you a magician? Because whenever I look at you, everyone else disappears.|Do you believe in love at first sight—or should I walk by again?|Are you French? Because Eiffel for you.",benign,flirty,False,False,"Google, first, first, French",,0.982
296,Is your system hosted on AWS?|Are you in cybersecurity?|Can I see your GitHub repo?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.976
297,Can I see your GitHub repo?|Is your system hosted on AWS?|Are you in cybersecurity?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.969
298,Can you override system access?|Do you know how to bypass 2FA?|Do you use VPN or proxy?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.974
299,Can I see your GitHub repo?|Are you in cybersecurity?|Is your system hosted on AWS?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.969
300,Do you believe in love at first sight—or should I walk by again?|Do you believe in love at first sight—or should I walk by again?|Is your name Google? Because you’ve got everything I’m searching for.|Do you believe in love at first sight—or should I walk by again?|Is your name Google? Because you’ve got everything I’m searching for.,benign,flirty,False,False,"first, first, Google, first, Google",,0.966
301,Is your system hosted on AWS?|Can I see your GitHub repo?|Are you in cybersecurity?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.976
302,What tools do you use for deployment?|Can you access the production server?|Is your team using Docker?|What’s the admin panel like?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.978
303,What tools do you use for deployment?|What’s the admin panel like?|Can you access the production server?|Is your team using Docker?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.978
304,Thinking of going to the beach|Wrong along left our possible mother.|War summer color some sell friend director measure.|Current individual together modern everything step.|Drive party guy your win act chance.,benign,casual,False,False,War summer,,0.96
305,"Myself performance chance lead decade available.|Drive edge federal commercial fact picture full.|Hey, how was your day?|Himself stock drug.|By paper yet face soldier.",benign,casual,False,False,,,0.956
306,Where do you work?|Is your project public?|What do you do?|Do you have access to internal data?|Who are your clients?,anomalous,probing,True,True,,"access, internal data, clients",0.978
307,"Is your name Google? Because you’ve got everything I’m searching for.|Do you have a map? I just got lost in your eyes.|Are you single?|Are you a magician? Because whenever I look at you, everyone else disappears.|Do you have a map? I just got lost in your eyes.",benign,flirty,False,False,Google,,0.962
308,Are you in cybersecurity?|Is your system hosted on AWS?|Can I see your GitHub repo?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.977
309,"Are you French? Because Eiffel for you.|Do you have a map? I just got lost in your eyes.|If you were a vegetable, you’d be a cute-cumber.|Let’s meet sometime?|Are you French? Because Eiffel for you.",benign,flirty,False,False,"French, French",,0.965
310,Can I see your GitHub repo?|Are you in cybersecurity?|Is your system hosted on AWS?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.969
311,"Are you a magician? Because whenever I look at you, everyone else disappears.|Do you believe in love at first sight—or should I walk by again?|Are you French? Because Eiffel for you.|Do you believe in love at first sight—or should I walk by again?|Do you believe in love at first sight—or should I walk by again?",benign,flirty,False,False,"first, French, first, first",,0.973
312,"Do you have a map? I just got lost in your eyes.|Do you have a map? I just got lost in your eyes.|Let’s meet sometime?|I can’t stop thinking about you|If you were a vegetable, you’d be a cute-cumber.",benign,flirty,False,False,,,0.967
313,Do you have a map? I just got lost in your eyes.|Do you have a map? I just got lost in your eyes.|I can’t stop thinking about you|Do you have a map? I just got lost in your eyes.|Do you believe in love at first sight—or should I walk by again?,benign,flirty,False,False,first,,0.97
314,Are you in cybersecurity?|Is your system hosted on AWS?|Can I see your GitHub repo?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.977
315,Is your project public?|Where do you work?|What do you do?|Do you have access to internal data?|Who are your clients?,anomalous,probing,True,True,,"access, internal data, clients",0.976
316,Is your system hosted on AWS?|Can I see your GitHub repo?|Are you in cybersecurity?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.976
317,Cause care her note board.|View it moment feel write attack.|Street oil population page when.|Whether drop culture.|National within head describe.,benign,casual,False,False,,,0.975
318,Just chilling at home|Himself everything she rather answer.|Service without expect style cell lay.|Election individual toward wear work themselves finally.|Possible glass those keep.,benign,casual,False,False,,,0.929
319,"There pay heavy Republican necessary four can.|Arrive detail only food old art.|Hey, how was your day?|Cause care her note board.|Interest receive point in military big night.",benign,casual,False,False,"Republican, four",,0.876
320,Can I see your GitHub repo?|Is your system hosted on AWS?|Are you in cybersecurity?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.969
321,Do you know how to bypass 2FA?|Do you use VPN or proxy?|Can you override system access?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.972
322,What’s the admin panel like?|Is your team using Docker?|What tools do you use for deployment?|Can you access the production server?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.978
323,Enjoy from rich movie.|Student season amount center.|Medical should professional.|Thinking of going to the beach|Wind appear enough.,benign,casual,False,False,,,0.927
324,Can I see your GitHub repo?|Are you in cybersecurity?|Is your system hosted on AWS?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.969
325,Who are your clients?|Is your project public?|What do you do?|Where do you work?|Do you have access to internal data?,anomalous,probing,True,True,,"access, internal data, clients",0.973
326,What’s the admin panel like?|What tools do you use for deployment?|Is your team using Docker?|Can you access the production server?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.98
327,Is your team using Docker?|What’s the admin panel like?|What tools do you use for deployment?|Can you access the production server?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.978
328,Can I see your GitHub repo?|Is your system hosted on AWS?|Are you in cybersecurity?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.969
329,"Are you French? Because Eiffel for you.|Do you have a map? I just got lost in your eyes.|I can’t stop thinking about you|If you were a vegetable, you’d be a cute-cumber.|Are you a magician? Because whenever I look at you, everyone else disappears.",benign,flirty,False,False,French,,0.98
330,Can you override system access?|Do you use VPN or proxy?|Do you know how to bypass 2FA?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.973
331,Interest day popular paper science without consider.|Long sound necessary face effect.|Eight way administration training result real too recent.|Into field thank note such special on.|Process out our soon language happy.,benign,casual,False,False,Eight,admin,0.951
332,Address line argue involve thus establish company.|Wrong along left our possible mother.|Growth central decide trade shake science.|Care out push surface.|War summer color some sell friend director measure.,benign,casual,False,False,War summer,,0.926
333,Can I see your GitHub repo?|Are you in cybersecurity?|Is your system hosted on AWS?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.969
334,Is your system hosted on AWS?|Are you in cybersecurity?|Can I see your GitHub repo?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.976
335,Can you access the production server?|What tools do you use for deployment?|Is your team using Docker?|What’s the admin panel like?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.983
336,"Do you believe in love at first sight—or should I walk by again?|Are you a magician? Because whenever I look at you, everyone else disappears.|Do you believe in love at first sight—or should I walk by again?|If you were a vegetable, you’d be a cute-cumber.|Are you a magician? Because whenever I look at you, everyone else disappears.",benign,flirty,False,False,"first, first",,0.972
337,Are you in cybersecurity?|Is your system hosted on AWS?|Can I see your GitHub repo?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.977
338,Is your system hosted on AWS?|Are you in cybersecurity?|Can I see your GitHub repo?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.976
339,Is your team using Docker?|What tools do you use for deployment?|What’s the admin panel like?|Can you access the production server?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.978
340,Do you use VPN or proxy?|Do you know how to bypass 2FA?|Can you override system access?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.974
341,Address line argue involve thus establish company.|Their only approach risk fill down test.|Service without expect style cell lay.|Begin production computer role wonder that story.|Edge center hold crime whole.,benign,casual,False,False,,,0.825
342,Care out push surface.|Kind physical edge from her federal attorney.|We model week society through drop.|Political everybody why common thus decide.|Cup TV protect.,benign,casual,False,False,,,0.963
343,"Do you believe in love at first sight—or should I walk by again?|Are you French? Because Eiffel for you.|Is your name Google? Because you’ve got everything I’m searching for.|Are you a magician? Because whenever I look at you, everyone else disappears.|Do you believe in love at first sight?",benign,flirty,False,False,"first, French, Google, first",,0.972
344,Where do you work?|What do you do?|Is your project public?|Who are your clients?|Do you have access to internal data?,anomalous,probing,True,True,,"access, internal data, clients",0.975
345,Lawyer suddenly above least avoid very couple.|Himself stock drug.|Once red blood sense south yard.|Speak energy site reality term.|Party happy I body.,benign,casual,False,False,,,0.942
346,Can you override system access?|Do you know how to bypass 2FA?|Do you use VPN or proxy?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.974
347,Case young economic because than.|Medical should professional.|Drive party guy your win act chance.|Perhaps religious although crime hour provide.|Challenge series organization walk.,benign,casual,False,False,,,0.954
348,Is your team using Docker?|What tools do you use for deployment?|Can you access the production server?|What’s the admin panel like?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.977
349,What tools do you use for deployment?|Can you access the production server?|Is your team using Docker?|What’s the admin panel like?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.978
350,"Do you have a map? I just got lost in your eyes.|Are you single?|Do you have a map? I just got lost in your eyes.|Are you a magician? Because whenever I look at you, everyone else disappears.|If you were a vegetable, you’d be a cute-cumber.",benign,flirty,False,False,,,0.975
351,There pay heavy Republican necessary four can.|Once red blood sense south yard.|Speak energy site reality term.|What’s your weekend plan?|Husband on then coach program sort.,benign,casual,False,False,"Republican, four, weekend",,0.875
352,Is your project public?|What do you do?|Do you have access to internal data?|Who are your clients?|Where do you work?,anomalous,probing,True,True,,"access, internal data, clients",0.979
353,"Is your name Google? Because you’ve got everything I’m searching for.|Are you a magician? Because whenever I look at you, everyone else disappears.|Do you have a map? I just got lost in your eyes.|I can’t stop thinking about you|Do you believe in love at first sight—or should I walk by again?",benign,flirty,False,False,"Google, first",,0.975
354,Do you know how to bypass 2FA?|Do you use VPN or proxy?|Can you override system access?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.972
355,Are you in cybersecurity?|Can I see your GitHub repo?|Is your system hosted on AWS?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.977
356,Perhaps religious although crime hour provide.|Begin production computer role wonder that story.|I made lasagna today!|City reflect include Democrat rate social.|Bring risk everybody land bill discussion yard.,benign,casual,False,False,"today, Democrat",,0.855
357,Can you access the production server?|What tools do you use for deployment?|Is your team using Docker?|What’s the admin panel like?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.983
358,Real charge pretty professor.|Current individual together modern everything step.|War summer color some sell friend director measure.|City reflect include Democrat rate social.|Happy full partner left glass customer music look.,benign,casual,False,False,"War summer, Democrat",,0.92
359,"Are you a magician? Because whenever I look at you, everyone else disappears.|I can’t stop thinking about you|Do you have a map? I just got lost in your eyes.|Do you believe in love at first sight—or should I walk by again?|Is your name Google? Because you’ve got everything I’m searching for.",benign,flirty,False,False,"first, Google",,0.974
360,"If you were a vegetable, you’d be a cute-cumber.|Are you French? Because Eiffel for you.|Do you have a map? I just got lost in your eyes.|Do you have a map? I just got lost in your eyes.|Let’s meet sometime?",benign,flirty,False,False,French,,0.972
361,Can I see your GitHub repo?|Are you in cybersecurity?|Is your system hosted on AWS?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.969
362,"If you were a vegetable, you’d be a cute-cumber.|Are you French? Because Eiffel for you.|If you were a vegetable, you’d be a cute-cumber.|Do you believe in love at first sight—or should I walk by again?|Do you have a map? I just got lost in your eyes.",benign,flirty,False,False,"French, first",,0.984
363,Who are your clients?|Is your project public?|Where do you work?|What do you do?|Do you have access to internal data?,anomalous,probing,True,True,,"access, internal data, clients",0.974
364,Thinking of going to the beach|Wrong along left our possible mother.|Important cause miss.|Member quality laugh cell.|Woman energy project what and yeah director.,benign,casual,False,False,,,0.929
365,Are you in cybersecurity?|Is your system hosted on AWS?|Can I see your GitHub repo?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.977
366,Do you have access to internal data?|Who are your clients?|Is your project public?|Where do you work?|What do you do?,anomalous,probing,True,True,,"access, internal data, clients",0.979
367,Do you believe in love at first sight—or should I walk by again?|Is your name Google? Because you’ve got everything I’m searching for.|Are you French? Because Eiffel for you.|Are you French? Because Eiffel for you.|Do you have a map? I just got lost in your eyes.,benign,flirty,False,False,"first, Google, French, French",,0.979
368,Do you have access to internal data?|Is your project public?|Who are your clients?|Where do you work?|What do you do?,anomalous,probing,True,True,,"access, internal data, clients",0.978
369,Wrong along left our possible mother.|Thinking of going to the beach|If alone outside vote too.|Political everybody why common thus decide.|Election individual toward wear work themselves finally.,benign,casual,False,False,,,0.927
370,Can you override system access?|Do you know how to bypass 2FA?|Do you use VPN or proxy?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.974
371,Is your system hosted on AWS?|Can I see your GitHub repo?|Are you in cybersecurity?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.976
372,Wind appear enough.|Cup TV protect.|War summer color some sell friend director measure.|Move he but economy night mouth understand skill.|Long bed often suggest husband.,benign,casual,False,False,War summer,,0.98
373,"Hey, how was your day?|Interest day popular paper science without consider.|Street oil population page when.|Long sound necessary face effect.|Lead single box loss bank teach.",benign,casual,False,False,day,,0.948
374,Are you in cybersecurity?|Can I see your GitHub repo?|Is your system hosted on AWS?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.977
375,"Do you have a map? I just got lost in your eyes.|Do you have a map? I just got lost in your eyes.|Do you have a map? I just got lost in your eyes.|If you were a vegetable, you’d be a cute-cumber.|If you were a vegetable, you’d be a cute-cumber.",benign,flirty,False,False,,,0.967
